epoch,train_loss,val_loss,f1-mac,acc_balanced
1,12.9121,11.9118,0.8286,0.8331
2,12.1283,12.077,0.8533,0.8579
3,11.9143,11.9441,0.8679,0.8803
4,11.7362,12.4543,0.8765,0.8889
5,11.5721,12.4079,0.8857,0.893
6,11.4013,12.8253,0.8868,0.8967
