labels,count
relief,23834
caring,71078
amusement,218246
neutral,284926
confusion,90308
love,137216
sadness,90846
fear,27128
grief,6432
disgust,75667
pride,31389
disapproval,136370
joy,175261
desire,115366
disappointment,59324
excitement,56087
gratitude,52882
curiosity,253138
nervousness,2396
optimism,42232
remorse,11614
admiration,195459
realization,82146
approval,230020
embarrassment,5072
surprise,52706
anger,76517
annoyance,148601
