epoch,train_loss,val_loss,f1-mac,acc_balanced
1,12.2483,13.0397,0.759,0.7722
2,12.0342,13.6815,0.7887,0.7989
3,11.8786,14.215,0.8001,0.8113
4,11.7762,14.7573,0.8047,0.8167
5,11.6745,15.4117,0.8152,0.8226
6,11.592,16.0606,0.8204,0.8255
7,11.5147,16.7496,0.8226,0.8229
8,11.4318,17.1335,0.8229,0.8292
9,11.3364,17.7215,0.8263,0.8276
10,11.2576,18.2076,0.8257,0.8276
11,11.1512,18.5288,0.8316,0.8331
12,11.0498,18.8053,0.8289,0.8331
