epoch,train_loss,val_loss,f1-mac,acc_balanced
1,12.5342,13.376,0.7262,0.7345
2,12.1564,13.4594,0.7606,0.7728
3,11.9922,14.0599,0.7676,0.7832
4,11.8874,14.3319,0.7861,0.7932
5,11.8238,14.6358,0.7955,0.8017
6,11.7687,14.8402,0.7925,0.8045
7,11.719,14.9672,0.8011,0.8087
8,11.6775,15.8258,0.8057,0.8117
9,11.6305,16.0522,0.8076,0.8135
10,11.5939,16.3067,0.8122,0.8227
11,11.5506,16.5779,0.817,0.8142
12,11.5009,16.8461,0.8207,0.8246
